1,xyz: 1 2 3
0,./a.out
Device:,wlp2s0
=== Transmission ===
SSID,BSSID,RSSI,COUNT,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,46,16,48,0,111,0,0
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,155,16,48,0,220,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,164,16,48,0,230,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,191,16,48,0,0,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,191,16,48,0,0,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,191,16,48,0,1,0,0
Empty,3C:41:0E:FF:17:00,-80,3,3,108,58,16,48,0,124,0,0
Empty,3C:41:0E:FF:17:00,-81,3,3,108,98,16,48,0,163,0,0
Empty,3C:41:0E:FF:17:00,-80,3,3,108,195,16,48,0,4,0,0
Empty,3C:41:0E:FF:17:02,-81,3,3,108,5,16,48,0,70,0,0
Empty,3C:41:0E:FF:17:02,-81,3,3,108,12,16,48,0,77,0,0
Empty,3C:41:0E:FF:17:02,-81,3,3,108,81,16,48,0,146,0,0
Empty,3C:41:0E:FF:17:02,-80,3,3,108,111,16,48,0,176,0,0
Empty,3C:41:0E:FF:17:04,-81,3,3,108,143,16,48,0,208,0,0
Empty,3C:41:0E:FF:17:04,-81,3,3,108,112,16,48,0,177,0,0
Empty,3C:41:0E:FF:17:04,-80,3,3,108,108,16,48,0,173,0,0
Empty,3C:41:0E:FF:17:04,-81,3,3,108,204,16,48,0,13,0,0
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,82,16,48,0,148,0,0
Empty,8C:1E:80:9D:CD:02,-73,3,3,108,109,16,48,0,174,0,0
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,47,16,48,0,112,0,0
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,65,16,48,0,130,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,74,16,48,0,139,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,211,16,48,0,20,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,67,16,48,0,132,0,0
Empty,8C:1E:80:9D:CD:03,-73,3,3,108,8,16,48,0,74,0,0
Empty,3C:41:0E:FF:17:00,-81,3,3,108,3,16,48,0,68,0,0
Empty,3C:41:0E:FF:17:00,-81,3,3,108,172,16,48,0,237,0,0
Empty,3C:41:0E:FF:17:00,-80,3,3,108,190,16,48,0,255,0,0
Empty,3C:41:0E:FF:17:02,-81,3,3,108,253,16,48,0,63,0,0
Empty,3C:41:0E:FF:17:02,-80,3,3,108,60,16,48,0,125,0,0
Empty,3C:41:0E:FF:17:02,-80,3,3,108,59,16,48,0,124,0,0
Empty,3C:41:0E:FF:17:02,-81,3,3,108,54,16,48,0,119,0,0
Empty,3C:41:0E:FF:17:00,-80,3,3,108,64,16,48,0,129,0,0
Empty,3C:41:0E:FF:17:00,-79,3,3,108,34,16,48,0,99,0,0
Empty,3C:41:0E:FF:17:00,-79,3,3,108,124,16,48,0,189,0,0
Empty,3C:41:0E:FF:17:02,-79,3,3,108,85,16,48,0,150,0,0
Empty,3C:41:0E:FF:17:02,-81,3,3,108,121,16,48,0,186,0,0
Empty,3C:41:0E:FF:17:02,-81,3,3,108,34,16,48,0,99,0,0
Empty,3C:41:0E:FF:17:02,-80,3,3,108,43,16,48,0,108,0,0
Empty,3C:41:0E:FF:17:04,-80,3,3,108,44,16,48,0,110,0,0
Empty,3C:41:0E:FF:17:04,-81,3,3,108,132,16,48,0,197,0,0
Empty,3C:41:0E:FF:17:04,-81,3,3,108,148,16,48,0,213,0,0
Empty,3C:41:0E:FF:17:04,-81,3,3,108,164,16,48,0,229,0,0
Empty,3C:41:0E:FF:17:04,-81,3,3,108,104,16,48,0,169,0,0
Empty,3C:41:0E:FF:17:04,-81,3,3,108,117,16,48,0,183,0,0
Empty,3C:41:0E:FF:17:04,-81,3,3,108,212,16,48,0,21,0,0
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,45,16,48,0,110,0,0
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,249,16,48,0,59,0,0
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,195,16,48,0,4,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,116,16,48,0,181,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,116,16,48,0,181,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,216,16,48,0,25,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,231,16,48,0,40,0,0
VIDEOTRON2106,3C:8D:20:58:74:03,-79,3,3,108,96,16,2,0,162,0,0
VIDEOTRON2106,3C:8D:20:58:74:03,-79,3,3,108,151,16,2,0,217,0,0
VIDEOTRON2106,3C:8D:20:58:74:03,-80,3,3,108,15,16,2,0,81,0,0
VIDEOTRON2106,3C:8D:20:58:74:03,-80,3,3,108,123,16,2,0,188,0,0
Empty,3C:8D:20:58:74:03,-79,3,3,108,242,16,2,0,51,0,0
Empty,3C:8D:20:58:74:03,-79,3,3,108,247,16,2,0,56,0,0
Empty,3C:8D:20:58:74:03,-80,3,3,108,6,16,2,0,71,0,0
Empty,3C:8D:20:58:74:03,-80,3,3,108,31,16,2,0,96,0,0
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,75,16,48,0,140,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,238,16,48,0,47,0,0
Empty,8C:1E:80:9D:CD:03,-73,3,3,108,159,16,48,0,224,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,226,16,48,0,35,0,0
Empty,8C:1E:80:9D:CD:03,-73,3,3,108,226,16,48,0,35,0,0
Empty,8C:1E:80:9D:CD:02,-73,3,3,108,12,16,48,0,77,0,0
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,205,16,48,0,15,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,248,16,48,0,57,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,43,16,48,0,108,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,21,16,48,0,86,0,0
Empty,8C:1E:80:9D:CD:03,-73,3,3,108,252,16,48,0,61,0,0
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,168,16,48,0,234,0,0
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,169,16,48,0,235,0,0
Empty,8C:1E:80:9D:CD:02,-73,3,3,108,167,16,48,0,232,0,0
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,229,16,48,0,38,0,0
Empty,8C:1E:80:9D:CD:03,-73,3,3,108,252,16,48,0,61,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,248,16,48,0,57,0,0
Empty,8C:1E:80:9D:CD:03,-72,3,3,108,1,16,48,0,66,0,0
Empty,8C:1E:80:9D:CD:03,-71,3,3,108,253,16,48,0,62,0,0
Empty,C8:84:A1:D8:D6:C3,-81,3,3,108,125,16,48,0,190,0,0
Empty,C8:84:A1:D8:D6:C3,-80,3,3,108,134,16,48,0,199,0,0
Empty,C8:84:A1:D8:D6:C3,-81,3,3,108,171,16,48,0,236,0,0
Empty,C8:84:A1:D8:D6:C2,-81,3,3,108,242,16,48,0,51,0,0
Empty,C8:84:A1:D8:D6:C2,-81,3,3,108,4,16,48,0,69,0,0
Empty,C8:84:A1:D8:D6:C2,-80,3,3,108,5,16,48,0,70,0,0
Empty,C8:84:A1:D8:D6:C3,-81,3,3,108,13,16,48,0,79,0,0
Empty,C8:84:A1:D8:D6:C3,-80,3,3,108,60,16,48,0,125,0,0
Empty,C8:84:A1:D8:D6:C3,-80,3,3,108,69,16,48,0,135,0,0
Empty,C8:84:A1:D8:D6:C2,-80,3,3,108,228,16,48,0,37,0,0
Empty,C8:84:A1:D8:D6:C2,-80,3,3,108,83,16,48,0,149,0,0
Empty,C8:84:A1:D8:D6:C2,-80,3,3,108,154,16,48,0,219,0,0
Empty,C8:84:A1:D8:D6:C3,-81,3,3,108,163,16,48,0,228,0,0
Empty,C8:84:A1:D8:D6:C3,-81,3,3,108,158,16,48,0,223,0,0
Empty,C8:84:A1:D8:D6:C3,-81,3,3,108,176,16,48,0,241,0,0
Empty,C8:84:A1:D8:D6:C3,-81,3,3,108,185,16,48,0,250,0,0
Empty,40:C7:29:FB:48:26,-86,3,3,108,255,16,12,0,65,0,0
Empty,40:C7:29:FB:48:26,-84,3,3,108,95,16,12,0,161,0,0
Empty,40:C7:29:FB:48:26,-83,3,3,108,27,16,12,0,92,0,0
Empty,40:C7:29:FB:48:26,-85,3,3,108,121,16,12,0,186,0,0
Empty,C8:84:A1:D8:D6:C2,-79,3,3,108,30,16,48,0,95,0,0
Empty,C8:84:A1:D8:D6:C2,-81,3,3,108,205,16,48,0,14,0,0
Empty,C8:84:A1:D8:D6:C2,-80,3,3,108,65,16,48,0,130,0,0
Empty,C8:84:A1:D8:D6:C3,-80,3,3,108,137,16,48,0,202,0,0
Empty,C8:84:A1:D8:D6:C3,-79,3,3,108,104,16,48,0,169,0,0
Empty,C8:84:A1:D8:D6:C3,-80,3,3,108,199,16,48,0,9,0,0
Empty,C8:84:A1:D8:D6:C2,-80,3,3,108,90,16,48,0,155,0,0
Empty,3C:41:0E:FF:17:00,-80,3,3,108,29,16,48,0,94,0,0
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,225,16,48,0,35,0,0
Empty,8C:1E:80:9D:CD:02,-73,3,3,108,139,16,48,0,204,0,0
Empty,C8:84:A1:D8:D6:C2,-80,3,3,108,85,16,48,0,150,0,0
Empty,3C:41:0E:FF:17:00,-80,3,3,108,78,16,48,0,143,0,0
Empty,8C:1E:80:9D:CD:02,-72,3,3,108,18,16,48,0,84,0,0
Empty,C8:84:A1:D8:D6:C3,-81,3,3,108,180,16,48,0,245,0,0
Empty,3C:41:0E:FF:17:02,-80,3,3,108,120,16,48,0,185,0,0
Empty,8C:1E:80:9D:CD:02,-73,3,3,108,60,16,48,0,125,0,0
Empty,3C:41:0E:FF:17:02,-80,3,3,108,27,16,48,0,92,0,0
Empty,3C:41:0E:FF:17:02,-80,3,3,108,110,16,48,0,175,0,0
Empty,8C:1E:80:9D:CD:03,-73,3,3,108,244,16,48,0,53,0,0
