1,xyz: 0 0 9
0,./a.out
Device:,wlp2s0
=== Transmission ===
BSSID,dB_mean,measure_count,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
3D:41:0E:FF:23:81,-78,3,3,108,51,16,2,0,116,4294967295,4294967295
3E:0D:4B:9A:64:DF,-83,3,3,108,247,16,48,0,56,4294967295,4294967295
9A:4F:B8:8D:00:00,-76,3,3,108,35,16,48,0,101,4294967295,4294967295
3C:41:0E:FE:F4:80,-82,3,3,108,191,16,48,0,0,4294967295,4294967295
3C:41:0E:FE:F4:81,-82,3,3,108,80,16,48,0,146,4294967295,4294967295
3C:41:0E:FE:F4:82,-82,3,3,108,236,16,48,0,45,4294967295,4294967295
3C:41:0E:FE:F4:84,-81,3,3,108,125,16,48,0,190,4294967295,4294967295
9E:18:88:BE:72:5E,-84,3,3,108,186,16,12,0,251,4294967295,4294967295
3E:0D:4B:9A:64:DF,-83,3,3,108,110,16,48,0,175,4294967295,4294967295
78:1A:52:D0:00:00,-76,3,3,108,158,16,48,0,223,4294967295,4294967295
3E:0D:4B:9A:64:DF,-84,3,3,108,220,16,12,0,30,4294967295,4294967295
A9:25:A3:28:00:00,-76,3,3,108,45,16,24,0,110,4294967295,4294967295
3E:0D:4B:9A:64:DF,-83,3,3,108,229,16,48,0,38,4294967295,4294967295
9A:4F:B8:8D:00:00,-75,3,3,108,17,16,48,0,82,4294967295,4294967295
A0:46:88:F6:00:00,-83,3,3,108,71,16,48,0,136,4294967295,4294967295
3E:0D:4B:9A:64:DF,-83,3,3,108,142,16,48,0,207,4294967295,4294967295
79:1C:DF:C4:00:00,-76,3,3,108,186,16,48,0,252,4294967295,4294967295
3C:41:0E:FF:23:81,-76,3,3,108,103,16,48,0,168,4294967295,4294967295
3C:41:0E:FF:23:81,-76,3,3,108,49,16,48,0,114,4294967295,4294967295
BE:43:1C:88:00:00,-84,3,3,108,93,16,48,0,158,4294967295,4294967295
3E:0D:4B:9A:64:DF,-83,3,3,108,199,16,48,0,8,4294967295,4294967295
9E:18:88:BE:72:5E,-84,3,3,108,253,16,12,0,62,4294967295,4294967295
3C:41:0E:FE:F4:81,-82,3,3,108,218,16,48,0,28,4294967295,4294967295
3C:41:0E:FE:F4:81,-82,3,3,108,36,16,48,0,102,4294967295,4294967295
