1,xyz: 4 0 2
0,./a.out
Device:,wlp2s0
=== Transmission ===
BSSID,dB_mean,measure_count,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
EF:6F:CC:A3:00:00,-83,3,3,108,156,16,48,0,221,4294967295,4294967295
A0:46:88:F6:00:00,-82,3,3,108,38,16,48,0,103,4294967295,4294967295
BC:B3:A7:3A:00:00,-81,3,3,108,59,16,48,0,125,4294967295,4294967295
BC:B3:A7:3A:00:00,-82,3,3,108,194,16,48,0,3,4294967295,4294967295
D5:62:17:28:00:00,-82,3,3,108,63,16,24,0,129,4294967295,4294967295
C1:5F:B3:77:00:00,-82,3,3,108,167,16,48,0,232,4294967295,4294967295
7B:D7:C1:3A:00:00,-82,3,3,108,79,16,24,0,145,4294967295,4294967295
A0:46:88:F6:00:00,-82,3,3,108,77,16,48,0,142,4294967295,4294967295
3C:41:0E:FF:00:41,-81,3,3,108,147,16,24,0,213,4294967295,4294967295
EF:6F:CC:A3:00:00,-82,3,3,108,91,16,48,0,157,4294967295,4294967295
A0:46:88:F6:00:00,-82,3,3,108,230,16,48,0,39,4294967295,4294967295
3C:41:0E:FF:00:40,-82,3,3,108,96,16,48,0,161,4294967295,4294967295
3C:41:0E:FF:00:41,-82,3,3,108,241,16,48,0,50,4294967295,4294967295
3C:41:0E:FF:00:42,-82,3,3,108,142,16,48,0,207,4294967295,4294967295
3C:41:0E:FF:00:44,-82,3,3,108,31,16,48,0,97,4294967295,4294967295
3D:41:0E:FF:00:41,-82,3,3,108,199,16,24,0,8,4294967295,4294967295
3C:41:0E:FF:00:41,-84,3,3,108,183,16,48,0,248,4294967295,4294967295
27:98:3D:3D:00:00,-82,3,3,108,249,16,48,0,58,4294967295,4294967295
3C:41:0E:FF:00:41,-82,3,3,108,71,16,48,0,137,4294967295,4294967295
3C:41:0E:FF:20:00,-68,3,3,108,26,16,48,0,91,4294967295,4294967295
3C:41:0E:FF:20:01,-68,3,3,108,170,16,48,0,236,4294967295,4294967295
3C:41:0E:FF:20:02,-68,3,3,108,71,16,48,0,136,4294967295,4294967295
3C:41:0E:FF:20:04,-68,3,3,108,216,16,48,0,25,4294967295,4294967295
C8:84:A1:CE:B5:40,-82,3,3,108,13,16,48,0,78,4294967295,4294967295
C8:84:A1:CE:B5:41,-81,3,3,108,158,16,48,0,223,4294967295,4294967295
C8:84:A1:CE:B5:42,-83,3,3,108,59,16,48,0,124,4294967295,4294967295
C8:84:A1:CE:B5:44,-82,3,3,108,204,16,48,0,14,4294967295,4294967295
C1:5F:B3:77:00:00,-82,3,3,108,220,16,48,0,29,4294967295,4294967295
A0:46:88:F6:00:00,-82,3,3,108,80,16,48,0,146,4294967295,4294967295
75:C4:8D:1C:00:00,-79,3,3,108,158,16,24,0,224,4294967295,4294967295
