1,xyz: 1 3 2
0,./a.out
Device:,wlp2s0
=== Transmission ===
SSID,BSSID,RSSI,COUNT,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
Empty,D2:AF:5D:93:4F:2C,-76,3,3,108,63,16,2,0,128,0,0
Empty,8C:1E:80:9D:CD:01,-69,3,3,108,18,16,48,0,84,0,0
Empty,C8:84:A1:D8:D6:C2,-80,3,3,108,18,16,48,0,83,0,0
Empty,8C:1E:80:9D:CD:01,-69,3,3,108,133,16,48,0,198,0,0
Empty,C8:84:A1:D8:D6:C3,-80,3,3,108,209,16,48,0,19,0,0
Empty,8C:1E:80:9D:CD:02,-69,3,3,108,148,16,48,0,213,0,0
Empty,C8:84:A1:D8:D6:C3,-79,3,3,108,132,16,48,0,197,0,0
Empty,C8:84:A1:D8:D6:C3,-79,3,3,108,134,16,48,0,200,0,0
Empty,C8:84:A1:D8:D6:C3,-80,3,3,108,129,16,48,0,194,0,0
Empty,8C:1E:80:9D:CD:02,-69,3,3,108,4,16,48,0,69,0,0
Empty,8C:1E:80:9D:CD:03,-69,3,3,108,199,16,48,0,8,0,0
Empty,8C:1E:80:9D:CD:03,-69,3,3,108,201,16,48,0,10,0,0
Empty,8C:1E:80:9D:CD:03,-69,3,3,108,219,16,48,0,29,0,0
Empty,D2:AF:5D:93:4F:2C,-77,3,3,108,118,16,2,0,184,0,0
Empty,C8:84:A1:D8:D6:C2,-79,3,3,108,90,16,48,0,156,0,0
Empty,C8:84:A1:D8:D6:C3,-79,3,3,108,134,16,48,0,200,0,0
Empty,D2:AF:5D:93:4F:2C,-76,3,3,108,53,16,2,0,118,0,0
Empty,8C:1E:80:9D:CD:01,-69,3,3,108,135,16,48,0,200,0,0
Empty,C8:84:A1:D8:D6:C2,-79,3,3,108,80,16,48,0,145,0,0
Empty,8C:1E:80:9D:CD:01,-69,3,3,108,142,16,48,0,208,0,0
Empty,8C:1E:80:9D:CD:01,-69,3,3,108,167,16,48,0,232,0,0
Empty,C8:84:A1:D8:D6:C2,-80,3,3,108,232,16,48,0,41,0,0
