1,xyz: 0 0 0
0,./a.out
Device:,wlp2s0
=== Transmission ===
BSSID,dB_mean,measure_count,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
A5:7B:A7:5C:00:00,-81,3,3,108,226,16,48,0,36,4294967295,4294967295
A0:46:88:F6:00:00,-82,3,3,108,115,16,48,0,180,4294967295,4294967295
3C:41:0E:FF:20:00,-80,3,3,108,231,16,48,0,40,4294967295,4294967295
3C:41:0E:FF:20:01,-81,3,3,108,120,16,48,0,186,4294967295,4294967295
3C:41:0E:FF:20:02,-80,3,3,108,21,16,48,0,86,4294967295,4294967295
3C:41:0E:FF:20:04,-81,3,3,108,165,16,48,0,230,4294967295,4294967295
C1:5F:B3:77:00:00,-81,3,3,108,226,16,48,0,36,4294967295,4294967295
A0:46:88:F6:00:00,-82,3,3,108,88,16,48,0,153,4294967295,4294967295
5A:74:29:70:00:00,-82,3,3,108,12,16,48,0,77,4294967295,4294967295
A0:46:88:F6:00:00,-81,3,3,108,159,16,48,0,224,4294967295,4294967295
78:1A:52:D0:00:00,-80,3,3,108,53,16,48,0,118,4294967295,4294967295
78:1A:52:D0:00:00,-81,3,3,108,162,16,48,0,228,4294967295,4294967295
78:1A:52:D0:00:00,-80,3,3,108,3,16,48,0,68,4294967295,4294967295
78:1A:52:D0:00:00,-80,3,3,108,105,16,48,0,171,4294967295,4294967295
3C:41:0E:FE:F4:81,-81,3,3,108,31,80,255,0,252,55,216
3C:41:0E:FE:F4:81,-81,3,3,108,31,80,255,0,252,55,216
3C:41:0E:FE:F4:81,-81,3,3,108,31,80,255,0,252,55,216
3C:41:0E:FE:F4:81,-82,3,3,108,247,80,255,0,212,55,217
3C:41:0E:FE:F4:81,-82,3,3,108,247,80,255,0,212,55,217
A4:88:73:9C:AD:02,-83,3,3,108,248,16,48,0,57,4294967295,4294967295
A4:88:73:9C:AD:04,-83,3,3,108,137,16,48,0,202,4294967295,4294967295
D3:92:A0:72:00:00,-81,3,3,108,209,16,48,0,18,4294967295,4294967295
3C:41:0E:FE:F4:81,-82,3,3,108,131,16,48,0,196,4294967295,4294967295
3C:41:0E:FE:F4:80,-81,3,3,108,223,16,48,0,33,4294967295,4294967295
3C:41:0E:FE:F4:81,-81,3,3,108,112,16,48,0,178,4294967295,4294967295
3C:41:0E:FE:F4:82,-81,3,3,108,13,16,48,0,78,4294967295,4294967295
3C:41:0E:FE:F4:84,-82,3,3,108,157,16,48,0,222,4294967295,4294967295
A4:CB:9F:0B:F7:81,-82,3,3,108,178,80,255,0,143,55,226
3C:41:0E:FE:F4:01,-82,3,3,108,88,80,255,0,54,55,227
2B:FE:B5:FC:F4:81,-82,3,3,108,88,80,255,0,54,55,227
3C:41:07:FF:F4:81,-82,3,3,108,88,80,255,0,54,55,227
5A:74:29:70:00:00,-82,3,3,108,98,16,48,0,163,4294967295,4294967295
A0:46:88:F6:00:00,-82,3,3,108,244,16,48,0,53,4294967295,4294967295
