1,xyz: 0 0 0
0,./a.out
Device:,wlp2s0
=== Transmission ===
BSSID,dB_mean,measure_count,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
3D:41:0E:FF:00:41,-82,3,3,108,44,16,24,0,110,4294967295,4294967295
3C:41:8E:ED:F4:81,-83,3,3,108,62,80,255,0,27,55,220
EB:89:F4:57:29:94,-86,3,3,108,52,80,255,0,17,55,221
94:D9:2D:B9:B6:EA,-84,3,3,108,151,80,255,0,116,55,222
2C:3B:70:2D:69:93,-86,3,3,108,245,16,24,0,54,4294967295,4294967295
2C:3B:70:2D:69:93,-86,3,3,108,61,16,24,0,126,4294967295,4294967295
2C:18:09:B3:FC:8A,-83,3,3,108,249,16,22,0,58,4294967295,4294967295
C8:84:A1:CE:B5:40,-82,3,3,108,191,16,48,0,0,4294967295,4294967295
C8:84:A1:CE:B5:40,-82,3,3,108,177,16,48,0,242,4294967295,4294967295
C8:84:A1:CE:B5:40,-83,3,3,108,247,16,48,0,56,4294967295,4294967295
C8:84:A1:CE:B5:44,-82,3,3,108,213,16,48,0,22,4294967295,4294967295
A4:88:73:9C:AD:00,-72,3,3,108,116,16,48,0,181,4294967295,4294967295
A4:88:73:9C:AD:01,-71,3,3,108,5,16,48,0,71,4294967295,4294967295
A4:88:73:9C:AD:02,-71,3,3,108,162,16,48,0,227,4294967295,4294967295
A4:88:73:9C:AD:04,-71,3,3,108,51,16,48,0,117,4294967295,4294967295
2C:3B:70:2D:69:93,-85,3,3,108,216,16,24,0,25,4294967295,4294967295
2C:3B:70:2D:69:93,-86,3,3,108,110,16,24,0,176,4294967295,4294967295
2C:3B:70:2D:69:93,-87,3,3,108,107,16,24,0,172,4294967295,4294967295
2C:3B:70:2D:69:93,-86,3,3,108,134,16,24,0,199,4294967295,4294967295
2C:3B:70:2D:69:93,-86,3,3,108,86,16,24,0,152,4294967295,4294967295
3C:41:0E:FF:23:80,-82,3,3,108,255,16,48,0,64,4294967295,4294967295
3C:41:0E:FF:23:81,-82,3,3,108,143,16,48,0,208,4294967295,4294967295
3C:41:0E:FF:23:82,-82,3,3,108,44,16,48,0,109,4294967295,4294967295
3C:41:0E:FF:23:84,-82,3,3,108,189,16,48,0,254,4294967295,4294967295
2C:18:09:B3:FC:8A,-83,3,3,108,202,16,22,0,11,4294967295,4294967295
3C:41:0E:FF:20:00,-66,3,3,108,113,16,48,0,178,4294967295,4294967295
3C:41:0E:FF:20:01,-66,3,3,108,1,16,48,0,66,4294967295,4294967295
3C:41:0E:FF:20:02,-66,3,3,108,158,16,48,0,224,4294967295,4294967295
3C:41:0E:FF:20:04,-66,3,3,108,46,16,48,0,112,4294967295,4294967295
