1,xyz: 1 1 2
0,./a.out
Device:,wlp2s0
=== Transmission ===
SSID,BSSID,RSSI,COUNT,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,55,16,48,0,120,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,243,16,48,0,53,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,128,16,48,0,194,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,187,16,48,0,252,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,173,16,48,0,238,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,183,16,48,0,248,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,176,16,48,0,242,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,186,16,48,0,251,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,217,16,48,0,26,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,67,16,48,0,132,0,0
Empty,8C:1E:80:9D:CD:02,-75,3,3,108,121,16,48,0,186,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,120,16,48,0,186,0,0
Empty,C8:84:A1:D8:D6:C2,-84,3,3,108,67,16,48,0,133,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,7,16,48,0,72,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,174,16,48,0,240,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,124,16,48,0,189,0,0
Empty,AA:3B:9E:47:56:F2,-66,3,3,108,77,16,2,0,142,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,121,16,48,0,187,0,0
Empty,AA:3B:9E:47:56:F2,-61,3,3,108,64,16,2,0,130,0,0
Empty,8C:1E:80:9D:CD:02,-75,3,3,108,243,16,48,0,53,0,0
Empty,8C:1E:80:9D:CD:02,-75,3,3,108,197,16,48,0,6,0,0
Empty,8C:1E:80:9D:CD:02,-75,3,3,108,234,16,48,0,44,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,156,16,48,0,221,0,0
Empty,8C:1E:80:9D:CD:03,-75,3,3,108,250,16,48,0,60,0,0
Empty,8C:1E:80:9D:CD:03,-75,3,3,108,143,16,48,0,209,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,226,16,48,0,35,0,0
Empty,40:C7:29:FB:48:26,-82,3,3,108,83,16,2,0,148,0,0
Empty,40:C7:29:FB:48:26,-83,3,3,108,30,16,2,0,96,0,0
Empty,40:C7:29:FB:48:26,-82,3,3,108,126,16,2,0,191,0,0
Empty,40:C7:29:FB:48:26,-83,3,3,108,206,16,2,0,16,0,0
Empty,C8:84:A1:D8:D6:C3,-82,3,3,108,39,16,48,0,104,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,222,16,48,0,31,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,8,16,48,0,73,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,103,16,48,0,168,0,0
Empty,C8:84:A1:D8:D6:C2,-83,3,3,108,43,16,48,0,109,0,0
Empty,C8:84:A1:D8:D6:C2,-84,3,3,108,140,16,48,0,205,0,0
Empty,C8:84:A1:D8:D6:C3,-84,3,3,108,137,16,48,0,203,0,0
