1,xyz: 1 2 2
0,./a.out
Device:,wlp2s0
=== Transmission ===
SSID,BSSID,RSSI,COUNT,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
Empty,C8:84:A1:D8:D6:C2,-82,3,3,108,27,16,48,0,92,0,0
Empty,8C:1E:80:9D:CD:02,-71,3,3,108,106,16,48,0,171,0,0
Empty,8C:1E:80:9D:CD:02,-71,3,3,108,178,16,48,0,243,0,0
Empty,8C:1E:80:9D:CD:02,-71,3,3,108,172,16,48,0,238,0,0
Empty,8C:1E:80:9D:CD:03,-71,3,3,108,181,16,48,0,246,0,0
Empty,8C:1E:80:9D:CD:03,-71,3,3,108,208,16,48,0,17,0,0
Empty,8C:1E:80:9D:CD:03,-71,3,3,108,224,16,48,0,33,0,0
Empty,8C:1E:80:9D:CD:03,-71,3,3,108,4,16,48,0,69,0,0
Empty,C8:84:A1:D8:D6:C2,-82,3,3,108,14,16,48,0,79,0,0
Empty,C8:84:A1:D8:D6:C3,-82,3,3,108,156,16,48,0,221,0,0
Empty,8C:1E:80:9D:CD:02,-70,3,3,108,196,16,48,0,5,0,0
Empty,8C:1E:80:9D:CD:02,-71,3,3,108,128,16,48,0,193,0,0
Empty,3C:41:0E:FF:17:00,-79,3,3,108,113,16,48,0,178,0,0
Empty,8C:1E:80:9D:CD:03,-70,3,3,108,118,16,48,0,183,0,0
Empty,3C:41:0E:FF:17:02,-79,3,3,108,63,16,48,0,128,0,0
Empty,C8:84:A1:D8:D6:C3,-81,3,3,108,39,16,48,0,105,0,0
Empty,3C:41:0E:FF:17:02,-79,3,3,108,32,16,48,0,98,0,0
Empty,C8:84:A1:D8:D6:C3,-81,3,3,108,16,16,48,0,81,0,0
Empty,3C:41:0E:FF:17:02,-79,3,3,108,46,16,48,0,111,0,0
Empty,3C:41:0E:FF:17:04,-79,3,3,108,73,16,48,0,138,0,0
Empty,3C:41:0E:FF:17:04,-79,3,3,108,116,16,48,0,181,0,0
Empty,8C:1E:80:9D:CD:03,-71,3,3,108,107,16,48,0,173,0,0
Empty,3C:41:0E:FF:17:04,-79,3,3,108,250,16,48,0,60,0,0
Empty,8C:1E:80:9D:CD:02,-71,3,3,108,113,16,48,0,178,0,0
Empty,8C:1E:80:9D:CD:02,-71,3,3,108,43,16,48,0,108,0,0
Empty,8C:1E:80:9D:CD:02,-71,3,3,108,81,16,48,0,146,0,0
Empty,8C:1E:80:9D:CD:03,-71,3,3,108,47,16,48,0,112,0,0
Empty,3C:41:0E:FF:17:02,-79,3,3,108,235,16,48,0,44,0,0
Empty,C8:84:A1:D8:D6:C2,-82,3,3,108,175,16,48,0,240,0,0
Empty,3C:41:0E:FF:17:02,-79,3,3,108,168,16,48,0,233,0,0
Empty,3C:41:0E:FF:17:02,-79,3,3,108,52,16,48,0,117,0,0
