1,xyz: 0 0 0
0,./a.out
Device:,wlp2s0
=== Transmission ===
BSSID,dB_mean,measure_count,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
3C:41:0E:FF:20:01,-76,3,3,108,76,16,255,0,41,55,215
3C:41:0E:FF:20:01,-76,3,3,108,76,16,255,0,41,55,215
1E:77:B9:B2:FB:6A,-82,3,3,108,107,16,48,0,172,4294967295,4294967295
A4:88:73:9C:AD:00,-78,3,3,108,29,16,48,0,94,4294967295,4294967295
A4:88:73:9C:AD:01,-77,3,3,108,174,16,48,0,240,4294967295,4294967295
A4:88:73:9C:AD:02,-77,3,3,108,74,16,48,0,139,4294967295,4294967295
A4:88:73:9C:AD:04,-77,3,3,108,219,16,48,0,28,4294967295,4294967295
F3:62:49:BB:00:00,-84,3,3,108,52,18,22,0,214,4294967295,4294967295
9E:18:88:BE:72:5E,-85,3,3,108,150,16,48,0,215,4294967295,4294967295
07:95:FA:9A:00:00,-82,3,3,108,72,16,22,0,138,4294967295,4294967295
1E:77:B9:B2:FB:6A,-81,3,3,108,39,16,24,0,104,4294967295,4294967295
B4:94:A0:3E:00:00,-77,3,3,108,92,16,24,0,157,4294967295,4294967295
3C:41:0E:FF:20:01,-77,3,3,108,76,16,255,0,41,55,226
3C:41:0E:FF:20:01,-77,3,3,108,205,16,255,0,171,55,227
1E:77:B9:B2:FB:6A,-82,3,3,108,187,16,48,0,252,4294967295,4294967295
3C:41:0E:FF:23:80,-76,3,3,108,9,16,48,0,74,4294967295,4294967295
3C:41:0E:FF:23:81,-76,3,3,108,153,16,48,0,219,4294967295,4294967295
3C:41:0E:FF:23:82,-76,3,3,108,54,16,48,0,119,4294967295,4294967295
3C:41:0E:FF:23:84,-76,3,3,108,199,16,48,0,8,4294967295,4294967295
3C:41:0E:FF:20:00,-77,3,3,108,41,16,48,0,107,4294967295,4294967295
3C:41:0E:FF:20:01,-77,3,3,108,187,16,48,0,253,4294967295,4294967295
3C:41:0E:FF:20:02,-77,3,3,108,87,16,48,0,152,4294967295,4294967295
3C:41:0E:FF:20:04,-77,3,3,108,232,16,48,0,41,4294967295,4294967295
C8:84:A1:CE:B5:40,-76,3,3,108,2,16,48,0,67,4294967295,4294967295
C8:84:A1:CE:B5:41,-76,3,3,108,147,16,48,0,212,4294967295,4294967295
C8:84:A1:CE:B5:42,-77,3,3,108,48,16,48,0,114,4294967295,4294967295
C8:84:A1:CE:B5:44,-77,3,3,108,194,16,48,0,4,4294967295,4294967295
1E:77:B9:B2:FB:6A,-83,3,3,108,37,16,24,0,102,4294967295,4294967295
2F:83:D1:3B:00:00,-77,3,3,108,98,16,24,0,163,4294967295,4294967295
3C:41:0E:FF:20:01,-76,3,3,108,200,16,48,0,9,4294967295,4294967295
A4:88:73:9C:AD:01,-77,3,3,108,218,16,48,0,27,4294967295,4294967295
A4:88:73:9C:AD:01,-77,3,3,108,5,16,48,0,70,4294967295,4294967295
A4:88:73:9C:AD:01,-77,3,3,108,48,16,48,0,113,4294967295,4294967295
A4:88:73:9C:AD:01,-78,3,3,108,64,16,48,0,129,4294967295,4294967295
