1,xyz: 1 3 1
0,./a.out
Device:,wlp2s0
=== Transmission ===
SSID,BSSID,RSSI,COUNT,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
Empty,C8:84:A1:D8:D6:C2,-86,3,3,108,44,16,48,0,110,0,0
Empty,C8:84:A1:D8:D6:C2,-85,3,3,108,248,16,48,0,57,0,0
Empty,C8:84:A1:D8:D6:C3,-84,3,3,108,91,16,48,0,156,0,0
Empty,00:0E:D7:CD:F7:B1,-85,3,3,108,199,16,2,0,9,0,0
Empty,8C:1E:80:9D:CD:01,-75,3,3,108,25,16,48,0,90,0,0
Empty,8C:1E:80:9D:CD:01,-75,3,3,108,76,16,48,0,141,0,0
Empty,8C:1E:80:9D:CD:01,-75,3,3,108,116,16,48,0,181,0,0
Empty,8C:1E:80:9D:CD:01,-75,3,3,108,131,16,48,0,197,0,0
Empty,8C:1E:80:9D:CD:02,-75,3,3,108,170,16,48,0,236,0,0
Empty,8C:1E:80:9D:CD:02,-74,3,3,108,228,16,48,0,37,0,0
Empty,8C:1E:80:9D:CD:02,-75,3,3,108,228,16,48,0,37,0,0
Empty,8C:1E:80:9D:CD:02,-75,3,3,108,33,16,48,0,99,0,0
Empty,8C:1E:80:9D:CD:03,-75,3,3,108,34,16,48,0,99,0,0
Empty,8C:1E:80:9D:CD:03,-75,3,3,108,229,16,48,0,38,0,0
Empty,8C:1E:80:9D:CD:03,-75,3,3,108,246,16,48,0,55,0,0
Empty,8C:1E:80:9D:CD:03,-74,3,3,108,53,16,48,0,118,0,0
Empty,8C:1E:80:9D:CD:01,-74,3,3,108,57,16,48,0,122,0,0
Empty,8C:1E:80:9D:CD:01,-74,3,3,108,92,16,48,0,157,0,0
Empty,8C:1E:80:9D:CD:01,-74,3,3,108,199,16,48,0,8,0,0
Empty,8C:1E:80:9D:CD:01,-75,3,3,108,225,16,48,0,34,0,0
Empty,8C:1E:80:9D:CD:02,-74,3,3,108,30,16,48,0,95,0,0
Empty,8C:1E:80:9D:CD:02,-74,3,3,108,149,16,48,0,214,0,0
Empty,8C:1E:80:9D:CD:02,-74,3,3,108,33,16,48,0,98,0,0
Empty,8C:1E:80:9D:CD:02,-75,3,3,108,7,16,48,0,72,0,0
Empty,8C:1E:80:9D:CD:03,-74,3,3,108,55,16,48,0,120,0,0
Empty,8C:1E:80:9D:CD:03,-74,3,3,108,224,16,48,0,34,0,0
Empty,8C:1E:80:9D:CD:03,-74,3,3,108,227,16,48,0,36,0,0
Empty,8C:1E:80:9D:CD:03,-74,3,3,108,245,16,48,0,54,0,0
Empty,8C:1E:80:9D:CD:01,-74,3,3,108,71,16,48,0,136,0,0
Empty,8C:1E:80:9D:CD:01,-74,3,3,108,105,16,48,0,171,0,0
Empty,8C:1E:80:9D:CD:01,-74,3,3,108,118,16,48,0,183,0,0
Empty,8C:1E:80:9D:CD:01,-74,3,3,108,131,16,48,0,196,0,0
Empty,8C:1E:80:9D:CD:02,-74,3,3,108,149,16,48,0,214,0,0
Empty,8C:1E:80:9D:CD:02,-74,3,3,108,91,16,48,0,156,0,0
Empty,8C:1E:80:9D:CD:02,-74,3,3,108,176,16,48,0,241,0,0
Empty,8C:1E:80:9D:CD:02,-74,3,3,108,74,16,48,0,139,0,0
Empty,8C:1E:80:9D:CD:03,-74,3,3,108,92,16,48,0,157,0,0
Empty,8C:1E:80:9D:CD:03,-74,3,3,108,92,16,48,0,157,0,0
Empty,8C:1E:80:9D:CD:03,-74,3,3,108,100,16,48,0,165,0,0
Empty,8C:1E:80:9D:CD:01,-74,3,3,108,209,16,48,0,18,0,0
