1,xyz: 6 0 2
0,./a.out
Device:,wlp2s0
=== Transmission ===
BSSID,dB_mean,measure_count,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
57:74:72:76:00:00,-85,3,3,108,25,16,12,0,91,4294967295,4294967295
A4:88:73:9C:AD:01,-74,3,3,108,32,16,48,0,97,4294967295,4294967295
15:61:86:27:00:00,-86,3,3,108,230,16,48,0,39,4294967295,4294967295
3C:41:0E:FE:F4:81,-84,3,3,108,112,16,48,0,177,4294967295,4294967295
04:81:BE:99:00:00,-74,3,3,108,110,16,48,0,176,4294967295,4294967295
A4:88:73:9C:AD:01,-74,3,3,108,19,16,48,0,85,4294967295,4294967295
A4:88:73:9C:AD:01,-74,3,3,108,188,16,48,0,253,4294967295,4294967295
A5:7B:A7:5C:00:00,-85,3,3,108,192,16,48,0,1,4294967295,4294967295
A0:46:88:F6:00:00,-85,3,3,108,59,16,48,0,125,4294967295,4294967295
3C:41:0E:FE:F4:81,-86,3,3,108,0,16,48,0,66,4294967295,4294967295
3C:41:0E:FE:F4:81,-85,3,3,108,233,16,48,0,42,4294967295,4294967295
A4:88:73:9C:AD:01,-74,3,3,108,126,16,48,0,192,4294967295,4294967295
A5:7B:A7:5C:00:00,-85,3,3,108,70,16,48,0,136,4294967295,4294967295
A0:46:88:F6:00:00,-86,3,3,108,194,16,48,0,3,4294967295,4294967295
5F:75:ED:D8:00:00,-85,3,3,108,102,16,48,0,167,4294967295,4294967295
A0:46:88:F6:00:00,-86,3,3,108,226,16,48,0,35,4294967295,4294967295
3C:41:0E:FF:20:00,-67,3,3,108,18,16,48,0,83,4294967295,4294967295
3C:41:0E:FF:20:01,-67,3,3,108,163,16,48,0,228,4294967295,4294967295
3C:41:0E:FF:20:02,-67,3,3,108,64,16,48,0,130,4294967295,4294967295
3C:41:0E:FF:20:04,-67,3,3,108,208,16,48,0,18,4294967295,4294967295
A8:ED:82:E4:00:00,-74,3,3,108,65,16,48,0,130,4294967295,4294967295
A4:88:73:9C:AD:01,-74,3,3,108,201,16,48,0,10,4294967295,4294967295
B0:9C:D6:5E:00:00,-74,3,3,108,153,16,48,0,219,4294967295,4294967295
B0:9C:D6:5E:00:00,-74,3,3,108,11,16,48,0,76,4294967295,4294967295
A4:88:73:9C:AD:01,-74,3,3,108,101,16,48,0,166,4294967295,4294967295
A5:7B:A7:5C:00:00,-85,3,3,108,171,16,48,0,237,4294967295,4294967295
3C:41:0E:FE:F4:81,-85,3,3,108,26,16,48,0,91,4294967295,4294967295
A4:88:73:9C:AD:01,-74,3,3,108,43,16,48,0,108,4294967295,4294967295
A4:88:73:9C:AD:01,-74,3,3,108,68,16,48,0,133,4294967295,4294967295
4D:89:BD:9E:00:00,-84,3,3,108,108,16,48,0,174,4294967295,4294967295
3C:41:0E:FF:00:41,-86,3,3,108,65,16,48,0,130,4294967295,4294967295
5A:74:29:70:00:00,-85,3,3,108,38,16,48,0,103,4294967295,4294967295
DA:0C:55:73:00:00,-86,3,3,108,213,16,24,0,22,4294967295,4294967295
44:ED:A0:5F:00:00,-85,3,3,108,206,16,24,0,15,4294967295,4294967295
3C:41:0E:FE:F4:81,-84,3,3,108,194,16,48,0,3,4294967295,4294967295
A5:7B:A7:5C:00:00,-84,3,3,108,134,16,48,0,199,4294967295,4294967295
A5:7B:A7:5C:00:00,-84,3,3,108,229,16,24,0,38,4294967295,4294967295
A0:46:88:F6:00:00,-86,3,3,108,100,16,48,0,166,4294967295,4294967295
A4:88:73:9C:AD:00,-74,3,3,108,109,16,48,0,174,4294967295,4294967295
A4:88:73:9C:AD:01,-74,3,3,108,254,16,48,0,64,4294967295,4294967295
A4:88:73:9C:AD:02,-74,3,3,108,155,16,48,0,220,4294967295,4294967295
A4:88:73:9C:AD:04,-74,3,3,108,43,16,48,0,109,4294967295,4294967295
A5:7B:A7:5C:00:00,-84,3,3,108,230,16,48,0,39,4294967295,4294967295
A0:46:88:F6:00:00,-85,3,3,108,98,16,48,0,163,4294967295,4294967295
A4:88:73:9C:AD:00,-74,3,3,108,64,16,48,0,129,4294967295,4294967295
A4:88:73:9C:AD:00,-74,3,3,108,129,16,48,0,195,4294967295,4294967295
DA:0C:55:73:00:00,-84,3,3,108,193,16,24,0,2,4294967295,4294967295
A4:88:73:9C:AD:00,-74,3,3,108,56,16,48,0,121,4294967295,4294967295
A4:88:73:9C:AD:00,-74,3,3,108,79,16,48,0,144,4294967295,4294967295
3C:41:0E:FF:00:41,-85,3,3,108,130,16,24,0,196,4294967295,4294967295
A4:88:73:9C:AD:02,-74,3,3,108,181,16,48,0,246,4294967295,4294967295
A4:88:73:9C:AD:02,-74,3,3,108,209,16,48,0,18,4294967295,4294967295
A4:88:73:9C:AD:02,-74,3,3,108,209,16,48,0,18,4294967295,4294967295
A4:88:73:9C:AD:04,-74,3,3,108,8,16,48,0,73,4294967295,4294967295
A4:88:73:9C:AD:04,-74,3,3,108,34,16,48,0,100,4294967295,4294967295
3C:41:0E:FE:F4:80,-85,3,3,108,7,16,48,0,72,4294967295,4294967295
A0:46:88:F6:00:04,-85,3,3,108,2,16,48,0,67,4294967295,4294967295
A0:46:88:F6:00:00,-85,3,3,108,34,16,48,0,99,4294967295,4294967295
3B:51:F9:F3:F4:81,-85,3,3,108,166,16,48,0,232,4294967295,4294967295
A0:46:88:F6:F4:81,-85,3,3,108,27,16,48,0,93,4294967295,4294967295
D0:ED:8A:8F:AD:01,-85,3,3,108,203,16,48,0,12,4294967295,4294967295
A0:7A:63:F4:00:00,-85,3,3,108,70,16,48,0,135,4294967295,4294967295
3C:41:0E:FF:20:04,-67,3,3,108,213,16,48,0,23,4294967295,4294967295
3C:41:0E:FE:F4:81,-85,3,3,108,56,16,48,0,121,4294967295,4294967295
A5:7B:A7:5C:01:00,-85,3,3,108,6,16,48,0,71,4294967295,4294967295
A0:46:88:F6:03:06,-86,3,3,108,130,16,48,0,196,4294967295,4294967295
EF:6F:CC:A3:00:00,-85,3,3,108,102,16,48,0,167,4294967295,4294967295
EF:6F:CC:A3:AD:01,-86,3,3,108,193,16,24,0,2,4294967295,4294967295
A0:46:88:F6:00:00,-85,3,3,108,78,16,48,0,143,4294967295,4294967295
5A:74:29:70:00:00,-85,3,3,108,199,16,48,0,9,4294967295,4294967295
3C:41:0E:FE:F4:81,-84,3,3,108,85,16,48,0,150,4294967295,4294967295
A5:7B:A7:5C:F4:81,-84,3,3,108,66,16,48,0,131,4294967295,4294967295
A4:88:73:9C:AD:02,-74,3,3,108,155,16,48,0,220,4294967295,4294967295
A4:88:73:9C:AD:04,-74,3,3,108,44,16,48,0,109,4294967295,4294967295
3C:41:0E:FE:F4:80,-85,3,3,108,50,16,48,0,115,4294967295,4294967295
3C:41:0E:FE:F4:81,-85,3,3,108,195,16,48,0,5,4294967295,4294967295
EF:6F:CC:A3:01:00,-85,3,3,108,225,16,48,0,35,4294967295,4294967295
A5:7B:A7:5C:AD:04,-85,3,3,108,118,16,48,0,183,4294967295,4294967295
A0:46:88:F6:71:1C,-85,3,3,108,241,16,48,0,51,4294967295,4294967295
A0:46:88:F6:F4:81,-85,3,3,108,130,16,48,0,195,4294967295,4294967295
C1:5F:B3:77:F4:81,-84,3,3,108,198,16,48,0,7,4294967295,4294967295
A0:46:88:F6:AD:01,-84,3,3,108,62,16,48,0,127,4294967295,4294967295
DA:0C:55:73:00:00,-85,3,3,108,201,16,24,0,11,4294967295,4294967295
3C:41:0E:FF:20:00,-67,3,3,108,142,16,48,0,208,4294967295,4294967295
3C:41:0E:FF:20:02,-67,3,3,108,98,16,48,0,163,4294967295,4294967295
3C:41:0E:FF:20:04,-67,3,3,108,45,16,48,0,110,4294967295,4294967295
C1:5F:B3:77:00:00,-85,3,3,108,39,16,48,0,104,4294967295,4294967295
A0:46:88:F6:00:00,-84,3,3,108,155,16,48,0,221,4294967295,4294967295
3C:41:0E:FF:20:00,-67,3,3,108,19,16,48,0,84,4294967295,4294967295
3C:41:0E:FF:20:01,-67,3,3,108,164,16,48,0,230,4294967295,4294967295
3C:41:0E:FF:20:02,-67,3,3,108,65,16,48,0,130,4294967295,4294967295
3C:41:0E:FF:20:04,-67,3,3,108,210,16,48,0,19,4294967295,4294967295
A5:7B:A7:5C:00:00,-84,3,3,108,113,16,48,0,178,4294967295,4294967295
A0:46:88:F6:AD:01,-85,3,3,108,235,16,48,0,44,4294967295,4294967295
3C:41:0E:FF:20:00,-67,3,3,108,88,16,48,0,153,4294967295,4294967295
3C:41:0E:FE:F4:80,-85,3,3,108,180,16,48,0,245,4294967295,4294967295
3C:41:0E:FF:20:00,-67,3,3,108,12,16,48,0,77,4294967295,4294967295
3C:41:0E:FF:20:02,-67,3,3,108,166,16,48,0,231,4294967295,4294967295
3C:41:0E:FF:20:04,-67,3,3,108,16,16,48,0,81,4294967295,4294967295
EF:6F:CC:A3:00:00,-86,3,3,108,218,16,48,0,27,4294967295,4294967295
A0:46:88:F6:00:00,-84,3,3,108,100,16,48,0,165,4294967295,4294967295
A5:7B:A7:5C:00:00,-84,3,3,108,103,16,48,0,168,4294967295,4294967295
A0:46:88:F6:F4:81,-85,3,3,108,226,16,48,0,35,4294967295,4294967295
DA:0C:55:73:AA:01,-85,3,3,108,213,16,24,0,22,4294967295,4294967295
A4:88:73:9C:AD:00,-74,3,3,108,110,16,48,0,175,4294967295,4294967295
A4:88:73:9C:AD:01,-73,3,3,108,254,16,48,0,64,4294967295,4294967295
A4:88:73:9C:AD:02,-74,3,3,108,155,16,48,0,220,4294967295,4294967295
A4:88:73:9C:AD:04,-73,3,3,108,44,16,48,0,109,4294967295,4294967295
15:61:86:27:AD:04,-84,3,3,108,252,16,48,0,61,4294967295,4294967295
3C:41:0E:FE:F4:81,-84,3,3,108,133,16,48,0,198,4294967295,4294967295
