1,xyz: 0 0 0
0,./a.out
Device:,wlp2s0
=== Transmission ===
BSSID,dB_mean,measure_count,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
A4:88:73:9C:AD:00,-71,3,3,108,88,16,48,0,153,4294967295,4294967295
A4:88:73:9C:AD:01,-71,3,3,108,233,16,48,0,42,4294967295,4294967295
A4:88:73:9C:AD:02,-71,3,3,108,134,16,48,0,199,4294967295,4294967295
A4:88:73:9C:AD:04,-71,3,3,108,23,16,48,0,88,4294967295,4294967295
3C:41:0E:FE:F4:81,-88,3,3,108,6,16,24,0,71,4294967295,4294967295
2C:3B:70:2D:69:93,-87,3,3,108,166,16,24,0,231,4294967295,4294967295
43:03:F0:DE:00:00,-87,3,3,108,218,16,24,0,27,4294967295,4294967295
3C:41:0E:FF:00:40,-79,3,3,108,4,16,48,0,69,4294967295,4294967295
3C:41:0E:FF:00:41,-79,3,3,108,149,16,48,0,215,4294967295,4294967295
3C:41:0E:FF:00:42,-79,3,3,108,50,16,48,0,115,4294967295,4294967295
3C:41:0E:FF:00:44,-79,3,3,108,195,16,48,0,5,4294967295,4294967295
3C:41:0E:FF:20:00,-66,3,3,108,40,16,48,0,106,4294967295,4294967295
3C:41:0E:FF:20:01,-66,3,3,108,185,16,48,0,250,4294967295,4294967295
3C:41:0E:FF:20:02,-66,3,3,108,86,16,48,0,152,4294967295,4294967295
3C:41:0E:FF:20:04,-66,3,3,108,231,16,48,0,40,4294967295,4294967295
A4:88:73:9C:AD:00,-71,3,3,108,88,16,48,0,153,4294967295,4294967295
A4:88:73:9C:AD:01,-71,3,3,108,233,16,48,0,42,4294967295,4294967295
A4:88:73:9C:AD:02,-71,3,3,108,134,16,48,0,199,4294967295,4294967295
A4:88:73:9C:AD:04,-71,3,3,108,23,16,48,0,88,4294967295,4294967295
A6:18:88:BE:72:5E,-85,3,3,108,107,16,22,0,172,4294967295,4294967295
91:76:CD:84:00:00,-83,3,3,108,242,16,22,0,51,4294967295,4294967295
9E:18:88:BE:72:5E,-84,3,3,108,202,16,22,0,12,4294967295,4294967295
B2:41:C5:97:00:00,-79,3,3,108,76,16,24,0,141,4294967295,4294967295
AD:C9:56:F3:00:00,-85,3,3,108,247,18,22,0,152,4294967295,4294967295
3F:D0:E6:E3:AD:00,-79,3,3,108,191,16,48,0,1,4294967295,4294967295
3F:D0:E6:E3:27:03,-79,3,3,108,57,16,48,0,123,4294967295,4294967295
75:C4:8D:1C:00:04,-78,3,3,108,152,16,24,0,217,4294967295,4294967295
26:E5:C8:EB:2A:01,-79,3,3,108,249,16,48,0,59,4294967295,4294967295
7A:79:56:74:F4:81,-65,3,3,108,91,16,24,0,156,4294967295,4294967295
A4:88:73:9C:AD:00,-71,3,3,108,131,16,48,0,196,4294967295,4294967295
3C:41:0E:FF:20:01,-65,3,3,108,19,16,48,0,84,4294967295,4294967295
A4:88:73:9C:AD:00,-71,3,3,108,110,16,48,0,175,4294967295,4294967295
A4:88:73:9C:AD:02,-71,3,3,108,75,16,48,0,140,4294967295,4294967295
A4:88:73:9C:AD:02,-71,3,3,108,137,16,48,0,202,4294967295,4294967295
A4:88:73:9C:AD:02,-70,3,3,108,95,16,48,0,160,4294967295,4294967295
A4:88:73:9C:AD:04,-70,3,3,108,124,16,48,0,189,4294967295,4294967295
A4:88:73:9C:AD:04,-70,3,3,108,128,16,48,0,193,4294967295,4294967295
A4:88:73:9C:AD:04,-70,3,3,108,171,16,48,0,236,4294967295,4294967295
3C:41:0E:FF:00:40,-80,3,3,108,5,16,48,0,70,4294967295,4294967295
3C:41:0E:FF:00:41,-79,3,3,108,150,16,48,0,215,4294967295,4294967295
3C:41:0E:FF:00:42,-79,3,3,108,50,16,48,0,116,4294967295,4294967295
3C:41:0E:FF:00:44,-79,3,3,108,195,16,48,0,4,4294967295,4294967295
C8:84:A1:CE:B5:40,-85,3,3,108,247,16,48,0,56,4294967295,4294967295
C8:84:A1:CE:B5:42,-85,3,3,108,8,16,48,0,73,4294967295,4294967295
C8:84:A1:CE:B5:42,-86,3,3,108,117,16,48,0,182,4294967295,4294967295
3C:41:0E:FF:20:01,-65,3,3,108,186,16,48,0,251,4294967295,4294967295
3C:41:0E:FF:20:02,-65,3,3,108,86,16,48,0,152,4294967295,4294967295
3C:41:0E:FF:20:04,-65,3,3,108,231,16,48,0,40,4294967295,4294967295
1E:77:B9:B2:FB:6A,-81,3,3,108,209,16,24,0,18,4294967295,4294967295
2F:83:D1:3B:00:00,-65,3,3,108,14,16,24,0,79,4294967295,4294967295
3C:41:0E:FF:20:01,-65,3,3,108,86,16,255,0,52,55,4
1E:77:B9:B2:FB:6A,-83,3,3,108,77,16,48,0,143,4294967295,4294967295
A4:88:73:9C:AD:00,-70,3,3,108,204,16,48,0,14,4294967295,4294967295
A4:88:73:9C:AD:00,-70,3,3,108,248,16,48,0,57,4294967295,4294967295
7A:79:56:74:00:00,-65,3,3,108,248,16,24,0,57,4294967295,4294967295
A4:88:73:9C:AD:00,-70,3,3,108,22,16,48,0,87,4294967295,4294967295
A4:88:73:9C:AD:00,-70,3,3,108,21,16,48,0,87,4294967295,4294967295
A4:88:73:9C:AD:02,-69,3,3,108,200,16,48,0,10,4294967295,4294967295
A4:88:73:9C:AD:02,-70,3,3,108,209,16,48,0,19,4294967295,4294967295
A4:88:73:9C:AD:02,-70,3,3,108,204,16,48,0,13,4294967295,4294967295
A4:88:73:9C:AD:02,-70,3,3,108,224,16,48,0,33,4294967295,4294967295
A4:88:73:9C:AD:04,-69,3,3,108,252,16,48,0,61,4294967295,4294967295
A4:88:73:9C:AD:04,-70,3,3,108,11,16,48,0,77,4294967295,4294967295
A4:88:73:9C:AD:04,-70,3,3,108,91,16,48,0,157,4294967295,4294967295
A4:88:73:9C:AD:04,-70,3,3,108,102,16,48,0,167,4294967295,4294967295
A4:88:73:9C:AD:00,-69,3,3,108,136,16,48,0,201,4294967295,4294967295
A4:88:73:9C:AD:00,-69,3,3,108,172,16,48,0,237,4294967295,4294967295
A4:88:73:9C:AD:00,-69,3,3,108,236,16,48,0,46,4294967295,4294967295
3C:41:0E:FF:20:01,-65,3,3,108,28,16,255,0,250,55,22
3C:41:0E:FF:20:01,-65,3,3,108,28,16,255,0,250,55,22
1E:77:B9:B2:FB:6A,-81,3,3,108,51,16,48,0,116,4294967295,4294967295
A4:88:73:9C:AD:00,-69,3,3,108,208,16,48,0,17,4294967295,4294967295
A4:88:73:9C:AD:02,-69,3,3,108,216,16,48,0,25,4294967295,4294967295
3C:41:0E:FF:20:01,-65,3,3,108,9,16,255,0,231,55,26
A4:88:73:9C:AD:02,-69,3,3,108,0,16,48,0,66,4294967295,4294967295
A4:88:73:9C:AD:02,-69,3,3,108,0,16,48,0,65,4294967295,4294967295
A4:88:73:9C:AD:04,-67,3,3,108,27,16,48,0,92,4294967295,4294967295
1E:77:B9:B2:FB:6A,-81,3,3,108,227,16,24,0,36,4294967295,4294967295
4E:9A:EA:BA:00:00,-65,3,3,108,24,16,24,0,89,4294967295,4294967295
A4:88:73:9C:AD:04,-69,3,3,108,10,16,48,0,76,4294967295,4294967295
3C:41:0E:FF:20:01,-65,3,3,108,74,16,255,0,39,55,33
A4:88:73:9C:AD:00,-69,3,3,108,91,16,48,0,156,4294967295,4294967295
A4:88:73:9C:AD:01,-69,3,3,108,235,16,48,0,44,4294967295,4294967295
A4:88:73:9C:AD:02,-69,3,3,108,136,16,48,0,201,4294967295,4294967295
A4:88:73:9C:AD:04,-69,3,3,108,25,16,48,0,90,4294967295,4294967295
A4:88:73:9C:AD:04,-69,3,3,108,11,16,48,0,76,4294967295,4294967295
3C:41:0E:FF:20:01,-65,3,3,108,200,16,255,0,165,55,39
3C:41:0E:FF:20:01,-65,3,3,108,212,16,48,0,22,4294967295,4294967295
3F:55:D5:B4:00:00,-81,3,3,108,3,16,48,0,69,4294967295,4294967295
3C:41:0E:FF:20:01,-65,3,3,108,148,16,255,0,113,55,42
3C:41:0E:FF:20:01,-65,3,3,108,185,16,48,0,251,4294967295,4294967295
3F:55:D5:B4:00:00,-82,3,3,108,232,16,48,0,41,4294967295,4294967295
3C:41:0E:FF:20:01,-65,3,3,108,121,16,255,0,86,55,45
1E:77:B9:B2:FB:6A,-81,3,3,108,4,16,48,0,69,4294967295,4294967295
61:28:EB:32:00:00,-89,3,3,108,69,16,24,0,134,4294967295,4294967295
2C:3B:70:2D:69:93,-88,3,3,108,160,16,24,0,226,4294967295,4294967295
3C:0A:63:8C:AD:00,-83,3,3,108,241,16,2,0,50,4294967295,4294967295
91:76:CD:84:27:03,-83,3,3,108,69,16,22,0,134,4294967295,4294967295
3C:41:0E:FF:00:40,-80,3,3,108,33,16,48,0,98,4294967295,4294967295
3C:41:0E:FF:00:40,-79,3,3,108,53,16,48,0,119,4294967295,4294967295
3C:41:0E:FF:00:40,-79,3,3,108,62,16,48,0,128,4294967295,4294967295
3C:41:0E:FF:00:40,-79,3,3,108,5,16,48,0,70,4294967295,4294967295
3C:41:0E:FF:00:41,-79,3,3,108,150,16,48,0,216,4294967295,4294967295
3C:41:0E:FF:00:42,-79,3,3,108,50,16,48,0,115,4294967295,4294967295
3C:41:0E:FF:00:44,-80,3,3,108,196,16,48,0,5,4294967295,4294967295
