1,xyz: 6 0 8
0,./a.out
Device:,wlp2s0
=== Transmission ===
BSSID,dB_mean,measure_count,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
3C:41:0E:FE:F4:81,-85,3,3,108,248,16,48,0,57,4294967295,4294967295
3C:41:0E:FE:F4:81,-85,3,3,108,93,16,48,0,158,4294967295,4294967295
3C:41:0E:FE:F4:81,-85,3,3,108,187,16,48,0,252,4294967295,4294967295
A4:88:73:9C:AD:00,-79,3,3,108,2,16,48,0,68,4294967295,4294967295
A4:88:73:9C:AD:01,-79,3,3,108,146,16,48,0,212,4294967295,4294967295
A4:88:73:9C:AD:02,-78,3,3,108,47,16,48,0,112,4294967295,4294967295
A4:88:73:9C:AD:04,-79,3,3,108,191,16,48,0,0,4294967295,4294967295
3C:41:0E:FF:23:80,-77,3,3,108,7,16,48,0,72,4294967295,4294967295
3C:41:0E:FF:23:81,-77,3,3,108,152,16,48,0,217,4294967295,4294967295
3C:41:0E:FF:23:82,-77,3,3,108,52,16,48,0,117,4294967295,4294967295
3C:41:0E:FF:23:84,-77,3,3,108,196,16,48,0,5,4294967295,4294967295
3C:41:0E:FE:F4:81,-85,3,3,108,145,16,48,0,210,4294967295,4294967295
3C:41:0E:FE:F4:81,-84,3,3,108,198,16,48,0,7,4294967295,4294967295
3C:41:0E:FE:F4:81,-86,3,3,108,213,16,48,0,22,4294967295,4294967295
3C:41:0E:FF:20:01,-78,3,3,108,226,16,48,0,36,4294967295,4294967295
3C:41:0E:FF:20:02,-77,3,3,108,126,16,48,0,191,4294967295,4294967295
3C:41:0E:FF:20:04,-78,3,3,108,16,16,48,0,81,4294967295,4294967295
3C:41:0E:FE:F4:81,-85,3,3,108,23,16,48,0,89,4294967295,4294967295
A0:46:88:F6:50:F2,-87,3,3,108,70,16,48,0,135,4294967295,4294967295
C8:84:A1:CE:B5:40,-83,3,3,108,223,16,48,0,32,4294967295,4294967295
