1,xyz: 1 1 1
0,./a.out
Device:,wlp2s0
=== Transmission ===
SSID,BSSID,RSSI,COUNT,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,66,16,48,0,132,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,38,16,48,0,103,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,232,16,48,0,41,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,97,16,48,0,162,0,0
Empty,8C:1E:80:9D:CD:03,-78,3,3,108,24,16,48,0,89,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,123,16,48,0,189,0,0
Empty,00:12:7B:5E:23:CC,-86,3,3,108,102,16,2,0,167,0,0
Empty,00:12:7B:5E:23:CC,-88,3,3,108,177,16,2,0,242,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,110,16,48,0,175,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,222,16,48,0,31,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,231,16,48,0,40,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,181,16,48,0,246,0,0
Empty,8C:1E:80:9D:CD:03,-78,3,3,108,106,16,48,0,171,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,115,16,48,0,181,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,21,16,48,0,86,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,48,16,48,0,113,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,57,16,48,0,123,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,66,16,48,0,131,0,0
Empty,8C:1E:80:9D:CD:02,-78,3,3,108,66,16,48,0,131,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,88,16,48,0,153,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,133,16,48,0,198,0,0
Empty,00:12:7B:5E:23:CC,-84,3,3,108,169,16,2,0,234,0,0
Empty,00:12:7B:5E:23:CC,-86,3,3,108,17,16,2,0,82,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,186,16,48,0,251,0,0
Empty,8C:1E:80:9D:CD:02,-78,3,3,108,47,16,48,0,113,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,80,16,48,0,145,0,0
Empty,8C:1E:80:9D:CD:03,-78,3,3,108,90,16,48,0,155,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,96,16,48,0,161,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,7,16,48,0,72,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,227,16,48,0,37,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,190,16,48,0,255,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,234,16,48,0,43,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,233,16,48,0,42,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,191,16,48,0,0,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,254,16,48,0,64,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,76,16,48,0,142,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,31,16,48,0,97,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,51,16,48,0,117,0,0
Empty,3C:41:0E:FF:17:04,-87,3,3,108,14,16,48,0,79,0,0
STS-Public,32:89:98:08:9E:7F,-86,3,3,108,70,16,11,0,136,0,0
Empty,32:89:98:08:9E:7F,-87,3,3,108,42,16,2,0,107,0,0
Empty,32:89:98:08:9E:7F,-88,3,3,108,18,16,2,0,83,0,0
Empty,32:89:98:08:9E:7F,-87,3,3,108,0,16,2,0,65,0,0
Empty,32:89:98:08:9E:7F,-87,3,3,108,244,16,2,0,53,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,85,16,48,0,150,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,7,16,48,0,72,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,209,16,48,0,18,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,191,16,48,0,0,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,202,16,48,0,11,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,211,16,48,0,20,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,205,16,48,0,15,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,164,16,48,0,230,0,0
STS-Public,86:98:C2:2F:4A:03,-87,3,3,108,90,16,2,0,156,0,0
STS-Public,86:98:C2:2F:4A:03,-86,3,3,108,98,16,2,0,164,0,0
STS-Public,3E:10:7B:5A:53:31,-85,3,3,108,194,16,2,0,4,0,0
STS-Public,3E:10:7B:5A:53:31,-84,3,3,108,181,16,2,0,246,0,0
Empty,00:12:7B:5E:23:CC,-87,3,3,108,135,16,2,0,200,0,0
Empty,00:12:7B:5E:23:CC,-85,3,3,108,236,16,2,0,46,0,0
Empty,8C:1E:80:9D:CD:02,-78,3,3,108,11,16,48,0,77,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,57,16,48,0,122,0,0
Empty,8C:1E:80:9D:CD:02,-78,3,3,108,57,16,48,0,122,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,172,16,48,0,237,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,213,16,48,0,23,0,0
